onnx_name,mac_ori,ori_peak_mem,peak_after_ourTS_bal,peak_after_tinyTS,peak_after_tinynas,reduction_ourTS_bal,reduction_tinyTS,reduction_tinynas,needTS,valid_ourTS_bal,valid_tinyTS,valid_tinynas,TSwork_ourTS_bal,TSwork_tinyTS,TSwork_tinynas
w0.25_ir64_subnet_ID63,30664704,196608,196608,196608,196608,0.00%,0.00%,0.00%,1,0,0,0,0,0,0
w0.25_ir64_subnet_ID64,12495360,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID65,15476736,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID66,7984128,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID67,12969984,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID68,22554624,67584,67584,-1,67584,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID69,12859392,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID7,13343232,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID70,31222272,67584,67584,-1,67584,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID71,27416064,67584,67584,-1,67584,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID72,9209856,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID73,19623936,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID74,42461184,67584,67584,-1,67584,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID75,34719744,67584,67584,-1,67584,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID76,7541760,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID77,14619648,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID78,12421632,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID79,42405888,67584,67584,-1,67584,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID8,43732992,196608,196608,196608,196608,0.00%,0.00%,0.00%,1,0,0,0,0,0,0
w0.25_ir64_subnet_ID80,11887104,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID81,39917568,67584,67584,-1,67584,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID82,32065536,196608,196608,196608,196608,0.00%,0.00%,0.00%,1,0,0,0,0,0,0
w0.25_ir64_subnet_ID83,13836288,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID84,11882496,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID85,28194816,67584,67584,-1,67584,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
w0.25_ir64_subnet_ID86,8348160,49152,49152,-1,49152,0.00%,0.00%,0.00%,0,1,0,1,0,0,0
